	jet_class	PhyDistance	AffinityType	Laplacien	NumEigenvectors	StoppingCondition	AffinityCutoff	ExpofPTPosition	ExpofPTMultiplier	DeltaR
52	SpectralMean	invarient	exponent2	unnormalised	2	beamparticle	None	input	0.65779137824116	1.195718778668062
53	SpectralMean	Luclus	exponent	unnormalised	1	standard	None	eigenspace	0.42588234979563766	0.5868462179533072
54	SpectralMean	normed	exponent2	symmetric	2	standard	('knn', 5)	input	-0.9157516715917531	0.9296492750341369
55	SpectralMean	normed	inverse	symmetric	7	standard	('distance', 9.450373525253772)	eigenspace	-0.48488040112941055	0.117028185985314
56	SpectralMean	Luclus	linear	symmetric	2	beamparticle	None	input	0.22032779222725973	0.4635776982259021
57	SpectralMean	Luclus	linear	unnormalised	6	beamparticle	('distance', 0.5507398456180312)	input	0.3616465197060077	0.9080088798830726
58	SpectralMean	angular	inverse	unnormalised	6	beamparticle	('distance', 3.7278705459062245)	eigenspace	0.13893940140313066	0.023460256496607435
59	SpectralMean	angular	linear	symmetric	3	beamparticle	None	eigenspace	0.025542895480362926	1.4561331896316603
60	SpectralMean	angular	exponent2	unnormalised	1	standard	('knn', 2)	eigenspace	0.14890919849411133	0.6374980157777642
61	SpectralMean	normed	exponent	symmetric	6	beamparticle	('distance', 9.014890859589055)	eigenspace	-0.6898221153999473	0.217968851250797
62	SpectralMean	Luclus	linear	symmetric	6	beamparticle	('knn', 1)	input	-0.30593141835016024	0.4868371538873329
63	SpectralMean	Luclus	linear	unnormalised	8	beamparticle	('knn', 2)	eigenspace	-0.6543410640049425	0.04439336086781476
64	SpectralMean	normed	linear	symmetric	5	beamparticle	('distance', 1.6453566017392118)	eigenspace	-0.37883384136751586	0.7723119725748434
65	SpectralMean	angular	linear	unnormalised	2	beamparticle	('distance', 8.169435171353065)	eigenspace	0.9260890344923747	0.7811644324154653
66	SpectralMean	angular	exponent2	symmetric	2	beamparticle	None	eigenspace	-0.28906817508214955	1.1927667987635517
67	SpectralMean	normed	exponent2	symmetric	5	beamparticle	('knn', 5)	eigenspace	0.26044459442300893	0.3289729707526176
68	SpectralMean	normed	linear	symmetric	6	beamparticle	None	input	-0.35146617328188845	1.352674622474775
69	SpectralMean	Luclus	linear	unnormalised	2	beamparticle	('knn', 1)	input	0.7060574827932065	0.1823909716986324
70	SpectralMean	angular	exponent	symmetric	2	standard	('knn', 2)	input	0.5947613662617468	0.2644625326475884
71	SpectralMean	normed	inverse	unnormalised	6	beamparticle	None	eigenspace	-0.252049106690422	0.6245832258885756
72	SpectralMean	invarient	inverse	unnormalised	1	beamparticle	None	input	-0.8097502727642798	0.4618267336398458
73	SpectralMean	invarient	exponent	unnormalised	1	beamparticle	('distance', 7.418259623218443)	input	-0.10083306426042515	0.9147551178593775
74	SpectralMean	Luclus	exponent	symmetric	8	standard	('distance', 8.655582380108704)	input	0.34505431405789877	0.1734432535697013
75	SpectralMean	Luclus	inverse	unnormalised	7	beamparticle	('knn', 1)	input	-0.462633904581766	1.357346606479108
76	SpectralMean	invarient	linear	symmetric	6	beamparticle	None	eigenspace	-0.16624688005494992	1.333712769606281
77	SpectralMean	Luclus	linear	unnormalised	6	standard	None	eigenspace	0.06900362401870042	1.4422167026145347
78	SpectralMean	Luclus	linear	symmetric	6	standard	None	eigenspace	-0.19588423143492983	0.5084176184815434
79	SpectralMean	normed	exponent2	unnormalised	6	standard	None	eigenspace	0.646847870673974	0.03319714915427319
80	SpectralMean	normed	linear	symmetric	9	beamparticle	None	eigenspace	0.6866992401208554	1.3698803036250464
81	SpectralMean	normed	inverse	symmetric	3	standard	('knn', 4)	input	0.3415474527124387	1.0911927889537045
82	SpectralMean	angular	exponent2	symmetric	8	standard	('knn', 1)	eigenspace	0.49709909247188855	0.957627431130295
83	SpectralMean	Luclus	exponent2	unnormalised	2	standard	('knn', 4)	eigenspace	0.5688722000645479	0.8447775719643802
84	SpectralMean	normed	linear	symmetric	3	beamparticle	None	input	0.3769360488382443	0.12214830998197634
85	SpectralMean	Luclus	exponent	symmetric	1	beamparticle	('knn', 1)	eigenspace	0.7900565646205673	0.09196538083799677
86	SpectralMean	normed	linear	symmetric	3	standard	('distance', 5.40282702668725)	input	-0.4404518330594096	1.0615777680125764
87	SpectralMean	angular	linear	symmetric	9	beamparticle	('distance', 1.1463047440660434)	eigenspace	0.9415113300319875	0.14924930032549255
88	SpectralMean	normed	exponent2	symmetric	9	standard	None	eigenspace	0.014679208294082091	0.703403194492259
89	SpectralMean	invarient	exponent	symmetric	5	beamparticle	None	input	0.5880580557750734	0.5777099360156317
90	SpectralMean	normed	exponent2	unnormalised	7	standard	('distance', 1.79290730863919)	eigenspace	0.39208204368073685	0.2450386468521245
91	SpectralMean	normed	inverse	unnormalised	7	beamparticle	None	input	-0.9215761552653194	0.6050417972961879
92	SpectralMean	invarient	linear	unnormalised	8	standard	('distance', 3.8429999025840713)	input	0.011126640812407551	0.6487609000025292
93	SpectralMean	invarient	exponent2	symmetric	5	beamparticle	('distance', 6.063639169737853)	input	-0.32511689989309067	0.8388411098851782
94	SpectralMean	normed	linear	symmetric	2	beamparticle	None	eigenspace	0.24983406629967142	1.057955900816582
95	SpectralMean	Luclus	linear	symmetric	6	standard	('distance', 4.332679434992926)	input	-0.7976801145035728	0.9200737640657044
96	SpectralMean	Luclus	exponent	symmetric	7	beamparticle	('knn', 4)	eigenspace	-0.6713176299162404	0.37413348524526485
97	SpectralMean	normed	linear	unnormalised	3	standard	('knn', 4)	eigenspace	-0.9608933083910429	0.23188388589725528
98	SpectralMean	angular	exponent2	unnormalised	4	beamparticle	None	input	0.0571122645420461	0.8730572762984108
99	SpectralMean	normed	linear	unnormalised	7	standard	None	input	-0.5207835995488581	0.9201756591908792
100	SpectralMean	Luclus	linear	unnormalised	5	standard	None	eigenspace	0.0579654924416555	0.1926906293292599
101	SpectralMean	Luclus	exponent	symmetric	8	beamparticle	('knn', 5)	eigenspace	0.1024213337972637	0.8543460728950953
102	SpectralMean	Luclus	inverse	unnormalised	4	beamparticle	('knn', 4)	input	-0.4033035581156452	0.452815564374875
103	SpectralMean	angular	exponent2	symmetric	3	standard	('distance', 3.3908291973045834)	input	-0.03887284210911757	0.9839479281782031
104	SpectralMean	Luclus	exponent2	unnormalised	2	standard	None	input	-0.48058786578951684	1.3550711729427332
105	SpectralMean	angular	exponent2	unnormalised	9	standard	None	input	-0.8244256967697019	0.05811112060212875
106	SpectralMean	Luclus	exponent	symmetric	4	beamparticle	None	eigenspace	-0.41856018511128323	0.6742036433536487
107	SpectralMean	normed	inverse	symmetric	1	beamparticle	('knn', 4)	input	-0.9439581274588187	1.3592880203856006
108	SpectralMean	invarient	inverse	symmetric	2	beamparticle	('distance', 8.495866416240025)	input	-0.6708692342864617	1.0057609544202817
109	SpectralMean	angular	inverse	symmetric	4	beamparticle	('knn', 1)	eigenspace	0.3990261182970949	0.7138301530972424
110	SpectralMean	normed	exponent	unnormalised	7	beamparticle	None	input	-0.6534210212575462	1.0438281243561103
111	SpectralMean	normed	inverse	symmetric	4	standard	None	eigenspace	0.7099011078923789	0.5143389202981825
112	SpectralMean	normed	exponent	unnormalised	4	beamparticle	None	input	-0.3354683971397898	1.4885970277090894
113	SpectralMean	Luclus	inverse	unnormalised	9	beamparticle	None	eigenspace	0.7923632308698694	0.23139849307362947
114	SpectralMean	angular	inverse	symmetric	5	beamparticle	None	input	-0.8509079538392739	0.8680099211549228
115	SpectralMean	normed	exponent	unnormalised	3	beamparticle	None	eigenspace	-0.10928571724503255	1.382629629835356
116	SpectralMean	normed	inverse	symmetric	5	beamparticle	('knn', 2)	eigenspace	0.8561036103605377	1.0824461776069427
117	SpectralMean	Luclus	exponent	symmetric	8	beamparticle	None	input	-0.8121435116593874	1.0183904847187106
118	SpectralMean	normed	linear	unnormalised	1	standard	None	eigenspace	0.14803991083101242	0.8794362652344468
119	SpectralMean	angular	exponent	symmetric	4	beamparticle	('distance', 8.083145186376123)	eigenspace	0.43599678905280337	0.9819145342302831
120	SpectralMean	normed	linear	symmetric	8	beamparticle	None	eigenspace	0.8934098236517394	1.1165104294069055
121	SpectralMean	Luclus	inverse	unnormalised	7	beamparticle	('distance', 2.8834627481520902)	eigenspace	0.3940447231324897	0.10126966913263413
122	SpectralMean	invarient	exponent	symmetric	3	standard	('distance', 3.6157708746640225)	eigenspace	0.5454279189116547	0.1574942622122339
123	SpectralMean	Luclus	inverse	symmetric	4	standard	('distance', 2.6072955650992444)	eigenspace	-0.7401380509538493	0.4492446225003464
124	SpectralMean	Luclus	inverse	unnormalised	4	standard	None	input	-0.9508186767886209	1.0883098561368603
125	SpectralMean	invarient	exponent	symmetric	7	beamparticle	('knn', 4)	input	0.8527871075352162	1.1542605103968757
126	SpectralMean	invarient	exponent2	symmetric	3	standard	('distance', 4.868457747237045)	eigenspace	-0.8648165200053382	0.3017917982527094
127	SpectralMean	angular	exponent2	unnormalised	7	beamparticle	('distance', 6.492359645056139)	eigenspace	-0.42564843982014566	0.01651825127153561
128	SpectralMean	invarient	linear	symmetric	1	beamparticle	('distance', 1.2371093254313859)	input	0.8279696399046934	0.509732805818244
129	SpectralMean	invarient	inverse	symmetric	2	beamparticle	('distance', 5.795690660207944)	eigenspace	-0.013145628706232815	1.1562070896716385
130	SpectralMean	angular	exponent2	unnormalised	3	beamparticle	('knn', 1)	input	-0.20109211872710397	1.1533738539696075
131	SpectralMean	normed	exponent	unnormalised	2	standard	('knn', 4)	input	-0.5333065786068227	0.6594333870297973
132	SpectralMean	angular	exponent2	unnormalised	3	standard	('distance', 1.6729371171896157)	input	0.7534968027867017	0.39125094972813734
133	SpectralMean	angular	exponent	unnormalised	7	beamparticle	('knn', 2)	input	-0.5200335713444313	0.23673340047175095
134	SpectralMean	angular	exponent2	symmetric	4	standard	None	input	-0.6128563497924002	1.072128672329707
135	SpectralMean	Luclus	inverse	symmetric	5	beamparticle	None	eigenspace	-0.1956981101026245	1.2348591809539249
136	SpectralMean	Luclus	linear	symmetric	4	beamparticle	('distance', 6.760301587975512)	input	-0.13935093858567815	0.6809403209473792
137	SpectralMean	Luclus	exponent	unnormalised	3	beamparticle	None	eigenspace	-0.03847639365780675	0.25360808848680605
138	SpectralMean	Luclus	inverse	symmetric	6	standard	None	eigenspace	-0.4307741232083744	0.34759510444524694
139	SpectralMean	Luclus	linear	unnormalised	1	beamparticle	('distance', 0.23370677832053488)	eigenspace	-0.46264774584420243	1.199416556247321
140	SpectralMean	invarient	exponent2	symmetric	1	beamparticle	('distance', 4.227645767035341)	input	0.7377759996519655	1.3495861677444545
141	SpectralMean	normed	linear	unnormalised	4	beamparticle	('knn', 2)	eigenspace	0.6271529053866147	0.47592367824892345
142	SpectralMean	Luclus	exponent2	symmetric	2	beamparticle	('knn', 3)	input	0.11332886669414388	0.6932835204695884
143	SpectralMean	normed	linear	symmetric	3	beamparticle	('distance', 8.358695853384225)	input	-0.5664474372632697	0.011954822461658354
144	SpectralMean	invarient	exponent2	symmetric	5	beamparticle	('distance', 8.231322549664961)	eigenspace	0.7379007162375935	1.0158371262391006
145	SpectralMean	angular	linear	unnormalised	6	standard	('distance', 4.382962931391098)	eigenspace	0.05408102492764	1.1454446499101962
146	SpectralMean	Luclus	exponent	unnormalised	4	beamparticle	('distance', 6.906360862425245)	eigenspace	-0.348576106294046	0.6656926978086127
147	SpectralMean	Luclus	exponent2	symmetric	9	beamparticle	('distance', 6.344696390139606)	input	0.33396501383819444	0.9035783172039162
148	SpectralMean	Luclus	inverse	symmetric	4	standard	None	input	0.7177207667598517	0.8841015335306759
149	SpectralMean	invarient	linear	unnormalised	5	standard	('distance', 7.239190542731757)	eigenspace	-0.5477140892250336	1.0269106965095116
150	SpectralMean	invarient	exponent	symmetric	1	beamparticle	None	input	0.05119998129933001	1.3584007305271366
151	SpectralMean	Luclus	linear	symmetric	5	beamparticle	('knn', 2)	input	0.043306553135826986	0.8689921849918756
152	SpectralMean	invarient	exponent2	symmetric	3	beamparticle	('distance', 7.534323193853939)	eigenspace	-0.28749493486244493	0.3725327820601146
153	SpectralMean	invarient	linear	symmetric	1	standard	('distance', 9.64220150785242)	input	-0.18619722968024144	1.492229137598279
154	SpectralMean	normed	inverse	symmetric	7	standard	None	eigenspace	0.29040686765974044	0.8900043152592795
155	SpectralMean	normed	exponent2	unnormalised	4	beamparticle	None	input	0.21566820978536572	1.148879158649886
156	SpectralMean	invarient	exponent	symmetric	5	beamparticle	None	input	-0.997378267709601	0.5420981710638197
157	SpectralMean	normed	exponent2	unnormalised	3	beamparticle	('knn', 2)	input	-0.22181004642704893	0.8773109261416078
158	SpectralMean	Luclus	linear	symmetric	5	beamparticle	('knn', 3)	eigenspace	0.8746822736429345	1.0308972739062585
159	SpectralMean	invarient	exponent	symmetric	2	beamparticle	None	eigenspace	-0.6239357093032878	0.8412633738245701
160	SpectralMean	Luclus	inverse	symmetric	3	beamparticle	('knn', 5)	input	-0.22988565990004806	0.317940064287567
161	SpectralMean	Luclus	exponent	unnormalised	2	standard	('knn', 2)	eigenspace	-0.7701698139931024	0.2009987518960057
162	SpectralMean	Luclus	linear	unnormalised	1	standard	('knn', 4)	input	-0.03468580376344832	0.7199024090806903
163	SpectralMean	angular	exponent	unnormalised	7	standard	None	input	0.8375917524811078	0.857873478953221
164	SpectralMean	Luclus	linear	symmetric	2	beamparticle	None	eigenspace	-0.1933622855609709	0.9628536222064286
165	SpectralMean	angular	exponent	unnormalised	3	standard	None	eigenspace	0.42740908426297386	1.3521309224222244
166	SpectralMean	Luclus	linear	symmetric	6	standard	None	eigenspace	0.4808194298943713	0.41652866087247725
167	SpectralMean	Luclus	exponent2	symmetric	3	beamparticle	None	input	-0.7261412893564423	0.22743676012514913
168	SpectralMean	normed	exponent	symmetric	7	standard	('knn', 1)	input	-0.5905181761370335	1.3021601188261354
169	SpectralMean	invarient	linear	unnormalised	4	standard	('distance', 2.135560121577292)	eigenspace	0.8360703041859838	0.047830398157238774
170	SpectralMean	angular	linear	symmetric	2	beamparticle	('knn', 4)	input	0.2822070920626789	0.05880130152001478
171	SpectralMean	Luclus	linear	symmetric	9	beamparticle	('knn', 3)	eigenspace	0.9664504642555121	1.1852289479857474
172	SpectralMean	Luclus	exponent2	unnormalised	4	standard	('distance', 0.25161928373046316)	eigenspace	0.8021318315128936	1.488801736735359
173	SpectralMean	invarient	linear	unnormalised	4	beamparticle	('distance', 3.488397497371871)	eigenspace	0.26746574179002924	1.4092480103315124
174	SpectralMean	normed	inverse	unnormalised	6	standard	None	input	-0.7065047786195144	0.53984903611625
175	SpectralMean	Luclus	exponent2	symmetric	6	standard	None	eigenspace	0.37792457857321504	0.5406358327424226
176	SpectralMean	normed	exponent2	unnormalised	4	standard	None	eigenspace	-0.3068404822715718	1.1417518691326194
177	SpectralMean	normed	linear	symmetric	9	beamparticle	('distance', 6.9057684399899175)	eigenspace	0.4072705424111027	0.25125748336559084
178	SpectralMean	invarient	exponent	unnormalised	2	beamparticle	('distance', 8.709358729150749)	input	-0.5483615337376309	0.3635931080587181
179	SpectralMean	angular	linear	unnormalised	4	beamparticle	None	input	-0.6783429194439359	0.012757988829191935
180	SpectralMean	normed	exponent	unnormalised	2	beamparticle	('knn', 2)	input	0.4480347401109477	1.0427873392106406
181	SpectralMean	normed	exponent2	symmetric	6	beamparticle	('knn', 3)	input	-0.8496526109216418	0.6391885001377454
182	SpectralMean	invarient	inverse	unnormalised	8	beamparticle	None	input	0.13644237499855505	0.44896195612130135
183	SpectralMean	invarient	inverse	symmetric	9	standard	('knn', 1)	eigenspace	0.2415663663803418	0.1298967151364665
184	SpectralMean	angular	inverse	symmetric	6	beamparticle	None	input	0.1671947003495693	0.15717002119856405
185	SpectralMean	invarient	linear	unnormalised	6	beamparticle	('knn', 4)	eigenspace	-0.5315531685958759	0.44181461075934353
186	SpectralMean	invarient	linear	unnormalised	1	standard	('knn', 5)	eigenspace	0.20829253003674308	1.3404543894764316
187	SpectralMean	normed	linear	unnormalised	7	beamparticle	('knn', 1)	eigenspace	0.022317509639602662	0.5094106596616077
188	SpectralMean	invarient	exponent2	symmetric	2	standard	('distance', 2.0311829174694465)	eigenspace	-0.5353350607204741	0.20759204734374376
189	SpectralMean	Luclus	inverse	unnormalised	9	beamparticle	('distance', 2.0443731055273906)	input	-0.5231373260950185	1.1980471419106606
190	SpectralMean	normed	inverse	symmetric	2	beamparticle	('distance', 0.08518127993905056)	eigenspace	0.9194303159461485	0.7476109173558266
191	SpectralMean	invarient	linear	symmetric	2	beamparticle	('knn', 4)	input	0.5690015607645973	0.3774989138820255
192	SpectralMean	angular	inverse	unnormalised	9	beamparticle	('knn', 2)	eigenspace	-0.19834674327307655	1.075807688058431
193	SpectralMean	invarient	exponent2	unnormalised	1	standard	None	eigenspace	0.9436886779340681	0.726195238400023
194	SpectralMean	angular	inverse	symmetric	6	beamparticle	None	eigenspace	0.8782343286851066	1.482051174712437
195	SpectralMean	normed	exponent	symmetric	2	standard	('distance', 7.486262868702932)	input	-0.44332661244397475	0.0699204827114539
196	SpectralMean	Luclus	exponent2	unnormalised	7	standard	('knn', 4)	input	-0.9215092127831515	1.4026134812834132
197	SpectralMean	angular	exponent	unnormalised	5	standard	('knn', 2)	eigenspace	-0.8978887721575133	0.03397506937435468
198	SpectralMean	normed	inverse	symmetric	3	standard	None	eigenspace	-0.9411784296175603	0.7051330457342329
199	SpectralMean	normed	exponent	symmetric	6	standard	('distance', 2.2587016647945255)	eigenspace	0.16110961831117376	0.8811889359621505
200	SpectralMean	angular	exponent2	unnormalised	2	beamparticle	None	input	0.1036408022218589	0.3304482888646202
201	SpectralMean	angular	inverse	symmetric	8	standard	('distance', 7.015964980965178)	input	0.16772563744411495	0.03742531168299562
202	SpectralMean	normed	inverse	unnormalised	1	beamparticle	('distance', 3.6338989794963683)	input	0.887945955139527	0.7325748868270114
203	SpectralMean	Luclus	exponent	symmetric	6	standard	('knn', 3)	input	-0.32638745669251135	0.19574363590170307
204	SpectralMean	normed	exponent	symmetric	6	beamparticle	None	eigenspace	-0.24225262290064653	1.3462598902139544
205	SpectralMean	invarient	exponent	symmetric	8	beamparticle	('knn', 3)	input	0.10818682684643277	0.770342874190089
206	SpectralMean	Luclus	inverse	unnormalised	6	standard	None	input	-0.17345057981638057	0.9733524234335831
207	SpectralMean	normed	exponent	symmetric	6	beamparticle	('knn', 3)	input	-0.45521410533387874	1.1608238045276487
208	SpectralMean	invarient	exponent	symmetric	2	beamparticle	('knn', 3)	input	0.5594401111300675	0.8785102145820378
209	SpectralMean	normed	linear	symmetric	3	beamparticle	('knn', 2)	eigenspace	0.6258395267388106	0.5798594708121353
210	SpectralMean	normed	inverse	unnormalised	7	beamparticle	('knn', 5)	input	-0.5965037132999744	0.9937222302135514
211	SpectralMean	Luclus	linear	symmetric	9	beamparticle	None	eigenspace	0.3118526705824458	0.12232725513133869
212	SpectralMean	normed	exponent	symmetric	7	beamparticle	('knn', 1)	input	-0.26947991594879106	0.404579426021998
213	SpectralMean	normed	exponent	symmetric	8	beamparticle	('knn', 2)	input	0.5849071751214558	0.9418617660181108
214	SpectralMean	normed	exponent	unnormalised	6	standard	('distance', 9.193944892606405)	input	0.744587811494803	0.20504357006884405
215	SpectralMean	invarient	linear	unnormalised	8	beamparticle	('knn', 1)	eigenspace	-0.5468653419318374	0.8851566302861456
216	SpectralMean	angular	exponent	symmetric	3	beamparticle	('distance', 8.488222909993539)	input	-0.6989290860210984	1.1357352924249478
217	SpectralMean	invarient	inverse	unnormalised	6	standard	('distance', 7.9080764163011406)	input	0.6593082311930658	0.021752032921853126
218	SpectralMean	Luclus	inverse	symmetric	9	beamparticle	('distance', 1.2505503592877398)	eigenspace	0.5336331906092602	0.5865368174850811
219	SpectralMean	angular	exponent	unnormalised	5	beamparticle	('distance', 7.9323224703957385)	eigenspace	-0.5152380662978346	0.9915398464433689
220	SpectralMean	angular	exponent2	symmetric	2	standard	('distance', 1.458102533550455)	eigenspace	-0.2755061983742424	0.5526143984097627
221	SpectralMean	Luclus	exponent	symmetric	5	beamparticle	('distance', 7.326281301244833)	input	-0.8879219175214046	0.041057007633497455
222	SpectralMean	normed	inverse	symmetric	9	beamparticle	('knn', 4)	input	-0.04579659418325899	0.760603690175491
223	SpectralMean	angular	linear	unnormalised	9	standard	('distance', 9.07447171099136)	eigenspace	-0.029547538939525886	1.2945111740383028
224	SpectralMean	invarient	exponent2	symmetric	2	beamparticle	('distance', 4.605638613406039)	input	-0.7756658086073835	1.0288642196447282
225	SpectralMean	Luclus	inverse	unnormalised	7	standard	('distance', 0.9590173833569615)	eigenspace	0.6639813216628188	0.2723110396533658
226	SpectralMean	invarient	linear	unnormalised	9	standard	('knn', 1)	eigenspace	0.507326815306917	0.048402805494127676
227	SpectralMean	invarient	exponent2	symmetric	9	beamparticle	('distance', 1.5652473318819293)	input	-0.18467941807979726	1.295146776543519
228	SpectralMean	invarient	inverse	symmetric	2	standard	None	input	-0.08653563288277977	0.6362047693731396
229	SpectralMean	invarient	inverse	unnormalised	1	standard	None	input	-0.11574865350253605	0.7315410955045789
230	SpectralMean	angular	exponent	unnormalised	3	standard	None	input	0.27222553070650557	0.015912527417826172
231	SpectralMean	angular	inverse	symmetric	9	beamparticle	('knn', 2)	eigenspace	0.9063191714845142	0.7707784287868409
232	SpectralMean	angular	linear	symmetric	4	beamparticle	None	input	0.42395920311265267	1.0230193701011128
233	SpectralMean	invarient	exponent2	symmetric	9	standard	None	input	-0.6719679295744869	0.28769239947343084
234	SpectralMean	Luclus	linear	unnormalised	6	beamparticle	None	input	0.7396246938616124	0.6101977466754328
235	SpectralMean	Luclus	exponent	symmetric	6	standard	None	eigenspace	-0.011041961446573989	0.17971007899173375
